Trigram,Frekuensi
supervised learning dengan,1
learning dengan menambahkan,1
dengan menambahkan lapisan,1
menambahkan lapisan memungkinkan,1
lapisan memungkinkan model,1
memungkinkan model pembelajaran,1
model pembelajaran untuk,1
pembelajaran untuk jika,1
untuk jika jurnal,1
1031000jikav7i49751 jika 457,1
jika 457 copyright,1
457 copyright 2023,1
international license merepresentasikan,1
license merepresentasikan gambar,1
merepresentasikan gambar berlabel,1
gambar berlabel dengan,1
berlabel dengan lebih,1
lebih baik hariz,1
baik hariz yulita,1
hariz yulita suryana,1
yulita suryana 2022,1
suryana 2022 machine,1
2022 machine learning,1
machine learning menggunakan,1
learning menggunakan teknik,1
menggunakan teknik untuk,1
teknik untuk mengekstraksi,1
untuk mengekstraksi fitur,1
mengekstraksi fitur dari,1
fitur dari data,2
dari data pelatihan,1
data pelatihan dan,1
pelatihan dan algoritma,1
dan algoritma pembelajaran,1
algoritma pembelajaran yang,1
pembelajaran yang dirancang,1
yang dirancang khusus,2
dirancang khusus untuk,2
khusus untuk melakukan,2
melakukan klasifikasi gambar,1
klasifikasi gambar dan,1
gambar dan pengenalan,1
dan pengenalan suara,1
pengenalan suara meskipun,1
suara meskipun demikian,1
meskipun demikian metode,1
demikian metode ini,1
metode ini masih,1
ini masih memiliki,2
masih memiliki beberapa,1
memiliki beberapa kelemahan,1
beberapa kelemahan terkait,1
kelemahan terkait kecepatan,1
terkait kecepatan dan,1
kecepatan dan akurasi,1
dan akurasi alwanda,1
akurasi alwanda ramadhan,1
alwanda ramadhan alamsyah,1
ramadhan alamsyah 2020,1
alamsyah 2020 convolutional,1
2020 convolutional neural,1
network cnn merupakan,1
cnn merupakan perkembangan,1
merupakan perkembangan dari,2
perkembangan dari multi,1
dari multi layer,1
multi layer perceptron,1
layer perceptron mlp,1
perceptron mlp yang,1
mlp yang digunakan,1
digunakan untuk memproses,1
untuk memproses data,1
memproses data dua,1
data dua dimensi,1
dua dimensi salawazo,1
dimensi salawazo gea,1
salawazo gea gea,1
gea gea azmi,1
gea azmi 2019,1
azmi 2019 cnn,1
2019 cnn termasuk,1
cnn termasuk dalam,1
termasuk dalam jenis,2
dalam jenis jaringan,1
jenis jaringan saraf,1
saraf tiruan mendalam,1
tiruan mendalam deep,1
mendalam deep neural,1
deep neural network,1
neural network yang,1
network yang banyak,1
yang banyak digunakan,1
banyak digunakan dalam,3
digunakan dalam analisis,1
dalam analisis gambar,1
analisis gambar dengan,1
gambar dengan kompleksitas,1
dengan kompleksitas tinggi,1
kompleksitas tinggi dan,1
tinggi dan sering,1
dan sering diaplikasikan,1
sering diaplikasikan dalam,1
diaplikasikan dalam penelitian,1
dalam penelitian tentang,1
penelitian tentang analisis,1
tentang analisis gambar,1
analisis gambar sulistyo,1
gambar sulistyo widodo,1
sulistyo widodo 2022,1
widodo 2022 cnn,1
2022 cnn terdiri,1
cnn terdiri dari,1
terdiri dari lapisan,2
dari lapisan input,2
lapisan input lapisan,1
input lapisan output,1
lapisan output dan,1
output dan sejumlah,1
dan sejumlah lapisan,1
sejumlah lapisan tersembunyi,1
lapisan tersembunyi pada,1
tersembunyi pada lapisanlapisan,1
pada lapisanlapisan tersembunyi,1
lapisanlapisan tersembunyi tersebut,1
tersembunyi tersebut terdapat,1
tersebut terdapat lapisan,1
terdapat lapisan konvolusi,1
lapisan konvolusi lapisan,1
konvolusi lapisan pooling,1
lapisan pooling dan,2
pooling dan lapisan,1
dan lapisan fully,1
lapisan fully connected,1
fully connected parameswari,1
connected parameswari prihandoko,1
parameswari prihandoko 2022,1
prihandoko 2022 hasil,1
2022 hasil dari,1
hasil dari konvolusi,1
dari konvolusi ini,1
konvolusi ini menghasilkan,1
ini menghasilkan transformasi,1
menghasilkan transformasi linear,1
transformasi linear dari,1
linear dari data,1
dari data yang,3
data yang diinput,1
yang diinput berdasarkan,1
diinput berdasarkan informasi,1
berdasarkan informasi spasial,1
informasi spasial yang,1
spasial yang terkandung,1
yang terkandung dalam,1
terkandung dalam data,1
dalam data tersebut,1
data tersebut bobot,1
tersebut bobot pada,1
bobot pada lapisan,1
pada lapisan ini,1
lapisan ini akan,1
ini akan menentukan,1
akan menentukan kernel,1
menentukan kernel konvolusi,1
kernel konvolusi yang,1
konvolusi yang diaplikasikan,1
yang diaplikasikan sehingga,1
diaplikasikan sehingga kernel,1
sehingga kernel konvolusi,1
kernel konvolusi ini,1
konvolusi ini dapat,1
ini dapat diatur,1
dapat diatur melalui,1
diatur melalui pelatihan,1
melalui pelatihan menggunakan,1
pelatihan menggunakan data,1
menggunakan data input,1
data input pada,1
input pada convolutional,1
pada convolutional neural,1
neural network alwanda,1
network alwanda et,1
alwanda et al,1
al 2020 gambar,1
2020 gambar 1,1
gambar 1 model,1
1 model lapisan,1
model lapisan convolutional,1
lapisan convolutional neural,1
neural network dalam,2
network dalam melakukan,1
dalam melakukan penelitian,3
melakukan penelitian ini,1
ini dilakukan beberapa,1
dilakukan beberapa tahapan,1
beberapa tahapan alur,1
tahapan alur penelitian,1
alur penelitian yaitu,1
penelitian yaitu dengan,1
yaitu dengan identifikasi,1
dengan identifikasi masalah,1
identifikasi masalah pengumpulan,1
masalah pengumpulan data,1
pengumpulan data implementasi,1
data implementasi convulutional,1
implementasi convulutional neural,1
network cnn implementasi,1
cnn implementasi extreme,1
implementasi extreme programming,1
extreme programming serta,1
programming serta kesimpulan,1
serta kesimpulan dan,1
dan saran alur,1
saran alur penelitian,1
alur penelitian dapat,1
penelitian dapat dilihat,1
gambar 2 berikut,1
2 berikut ini,1
berikut ini gambar,5
ini gambar 2,3
gambar 2 alur,2
2 alur penelitian,1
alur penelitian 1,1
penelitian 1 identifikasi,1
1 identifikasi masalah,1
identifikasi masalah langkah,1
masalah langkah pertama,1
langkah pertama yang,2
pertama yang harus,2
yang harus diambil,1
harus diambil oleh,1
diambil oleh peneliti,1
oleh peneliti setelah,1
peneliti setelah memilih,1
setelah memilih topik,1
memilih topik penelitian,1
topik penelitian adalah,1
penelitian adalah mengidentifikasi,1
adalah mengidentifikasi permasalahan,1
permasalahan yang akan,1
yang akan diteliti,3
akan diteliti identifikasi,1
diteliti identifikasi ini,1
identifikasi ini bertujuan,1
bertujuan untuk mengklarifikasi,1
untuk mengklarifikasi batasan,1
mengklarifikasi batasan permasalahan,1
batasan permasalahan agar,1
permasalahan agar penelitian,1
agar penelitian tetap,1
penelitian tetap berfokus,1
tetap berfokus pada,1
berfokus pada tujuannya,1
pada tujuannya dalam,1
tujuannya dalam konteks,1
konteks ini penelitian,2
ini penelitian dilakukan,1
penelitian dilakukan untuk,1
dilakukan untuk mengklasifikasikan,1
untuk mengklasifikasikan jenis,2
jenis obat seperti,1
obat seperti kapsul,1
seperti kapsul dan,1
kapsul dan tablet,8
dan tablet menggunakan,1
tablet menggunakan algoritma,1
menggunakan algoritma convolutional,1
network cnn 2,1
cnn 2 studi,1
2 studi literatur,1
studi literatur studi,1
literatur studi literatur,1
studi literatur memiliki,1
literatur memiliki peran,1
peran penting sebagai,1
penting sebagai pengenalan,1
sebagai pengenalan teori,1
pengenalan teori dalam,1
penelitian yang sedang,2
yang sedang dilakukan,3
sedang dilakukan oleh,2
dilakukan oleh peneliti,4
oleh peneliti peneliti,1
peneliti peneliti menggunakan,1
peneliti menggunakan referensi,1
menggunakan referensi dari,1
referensi dari berbagai,1
berbagai sumber termasuk,2
sumber termasuk jurnal,1
termasuk jurnal skripsi,1
jurnal skripsi dan,1
skripsi dan artikel,1
dan artikel yang,2
terkait dengan machine,1
machine learning klasifikasi,1
learning klasifikasi gambar,1
klasifikasi gambar serta,1
gambar serta convolutional,1
serta convolutional neural,1
network cnn tujuan,1
cnn tujuan dari,1
tujuan dari studi,2
dari studi literatur,1
studi literatur ini,1
literatur ini adalah,1
adalah untuk memberikan,3
untuk memberikan wawasan,2
memberikan wawasan yang,1
wawasan yang mendalam,1
yang mendalam tentang,1
mendalam tentang analisis,1
tentang analisis teknik,1
analisis teknik dan,1
teknik dan strategi,1
dan strategi yang,1
strategi yang relevan,1
yang relevan dalam,2
relevan dalam melakukan,1
penelitian dengan demikian,1
demikian diharapkan studi,1
diharapkan studi literatur,1
studi literatur tersebut,1
literatur tersebut dapat,1
tersebut dapat memberikan,1
dapat memberikan kontribusi,2
memberikan kontribusi yang,2
kontribusi yang berarti,2
yang berarti dalam,1
berarti dalam pengembangan,1
dalam pengembangan penelitian,1
pengembangan penelitian yang,1
sedang dilakukan 3,1
dilakukan 3 pengumpulan,1
3 pengumpulan data,1
pengumpulan data tahapan,1
data tahapan pengumpulan,1
tahapan pengumpulan data,1
data dilakukan dengan,1
dengan cara mengambil,2
cara mengambil foto,1
mengambil foto secara,1
foto secara langsung,1
secara langsung di,3
langsung di apotek,1
di apotek gambar,1
apotek gambar yang,1
gambar yang diambil,1
yang diambil tentunya,1
diambil tentunya jika,1
tentunya jika jurnal,1
1031000jikav7i49751 jika 458,1
jika 458 copyright,1
458 copyright 2023,1
international license merupakan,2
license merupakan obat,1
merupakan obat umum,1
obat umum yang,1
umum yang mudah,1
yang mudah digunakan,1
mudah digunakan peneliti,1
digunakan peneliti membatasi,1
peneliti membatasi pengambilan,1
membatasi pengambilan gambar,1
pengambilan gambar secara,2
gambar secara besarbesaran,1
secara besarbesaran dikarenakan,1
besarbesaran dikarenakan tidak,1
dikarenakan tidak semua,1
tidak semua obat,1
semua obat bisa,1
obat bisa di,1
bisa di jangkau,1
di jangkau tanpa,1
jangkau tanpa tanpa,1
tanpa tanpa resep,1
tanpa resep dokter,1
resep dokter variable,1
dokter variable yang,1
variable yang digunakan,1
penelitian ini dalam,1
ini dalam tabel,1
tabel 1 tentang,1
1 tentang penjelasan,1
tentang penjelasan dan,1
penjelasan dan definisi,1
dan definisi operasional,1
definisi operasional variabel,2
operasional variabel penelitian,2
variabel penelitian tabel,1
penelitian tabel 1,1
tabel 1 definisi,1
1 definisi operasional,1
variabel penelitian variabel,1
penelitian variabel definisi,1
variabel definisi operasional,1
definisi operasional penelitian,1
operasional penelitian obat,1
penelitian obat kapsul,1
obat kapsul gambar,1
kapsul gambar yang,1
gambar yang hanya,2
yang hanya berisi,2
hanya berisi obat,2
berisi obat kapsul,2
obat kapsul dengan,2
kapsul dengan backround,2
dengan backround putih,2
backround putih obat,1
putih obat tablet,1
obat tablet gambar,1
tablet gambar yang,1
backround putih 4,1
putih 4 pengembangan,1
4 pengembangan model,1
pengembangan model cnn,2
model cnn pada,4
cnn pada tahap,3
ini akan merancang,1
akan merancang model,1
merancang model convolutional,1
model convolutional neural,2
network untuk membuat,1
untuk membuat implementasi,1
membuat implementasi deep,1
deep learning dalam,1
learning dalam klasifikasi,5
dalam klasifikasi jenis,1
klasifikasi jenis obat,9
jenis obat kapsul,3
obat kapsul dan,6
dan tablet perancangan,1
tablet perancangan model,1
perancangan model cnn,1
model cnn dilakukan,1
cnn dilakukan menggunakan,1
dilakukan menggunakan platform,1
menggunakan platform google,1
platform google colaboratory,1
google colaboratory maulana,1
colaboratory maulana rochmawati,1
maulana rochmawati 2020,1
rochmawati 2020 dengan,1
2020 dengan langkahlangkah,1
dengan langkahlangkah seperti,1
langkahlangkah seperti gambar,1
seperti gambar 3,1
gambar 3 berikut,2
3 berikut ini,2
ini gambar 3,3
gambar 3 flowchart,1
3 flowchart cnn,1
flowchart cnn berdasarkan,1
cnn berdasarkan gambar,1
berdasarkan gambar alur,1
gambar alur model,1
alur model diatas,1
model diatas dapat,1
diatas dapat dijelaskan,1
dapat dijelaskan sebagai,2
dijelaskan sebagai berikut,1
berikut a persiapan,1
a persiapan dataset,2
persiapan dataset dataset,2
dataset dataset yang,2
dataset yang digunakan,5
digunakan pada penelitian,4
ini merupakan dataset,1
merupakan dataset jenis,1
dataset jenis obat,4
jenis obat dataset,1
obat dataset jenis,1
jenis obat berisi,1
obat berisi citra,1
berisi citra obat,1
citra obat kapsul,1
kapsul dan obat,1
dan obat tablet,1
obat tablet dataset,1
tablet dataset jenis,1
jenis obat diperoleh,1
obat diperoleh secara,1
langsung dengan cara,1
cara mengambil gambar,1
mengambil gambar pada,1
gambar pada tempat,1
pada tempat penelitian,1
tempat penelitian kemudian,1
penelitian kemudian diupload,1
kemudian diupload pada,2
diupload pada google,2
pada google drive,2
google drive dataset,1
drive dataset jenis,1
jenis obat terdiri,1
obat terdiri dari,1
terdiri dari 2,2
dari 2 kelas,1
2 kelas kapsul,1
kelas kapsul dan,1
dan tablet yang,2
tablet yang terbagi,1
yang terbagi atas,2
terbagi atas data,1
atas data yaitu,1
yaitu data test,1
data test dan,2
test dan data,1
dan data training,1
data training b,1
training b preprocessing,1
b preprocessing tujuan,1
preprocessing tujuan dari,1
tujuan dari proses,1
dari proses preprocessing,1
proses preprocessing adalah,1
preprocessing adalah untuk,1
adalah untuk mempersiapkan,1
untuk mempersiapkan data,1
mempersiapkan data mentah,1
data mentah agar,1
mentah agar siap,1
agar siap untuk,1
siap untuk diolah,1
untuk diolah oleh,1
diolah oleh sistem,1
oleh sistem pada,1
sistem pada tahap,2
tahap ini peneliti,2
peneliti melakukan pengolahan,1
melakukan pengolahan data,1
pengolahan data dengan,1
data dengan melakukan,1
dengan melakukan perubahan,1
melakukan perubahan ukuran,1
perubahan ukuran dan,1
ukuran dan rotasi,1
dan rotasi citra,1
rotasi citra sesuai,1
citra sesuai dengan,1
dengan kebutuhan yang,2
kebutuhan yang diinginkan,1
yang diinginkan setelah,2
diinginkan setelah dataset,1
setelah dataset gambar,1
dataset gambar jenis,1
gambar jenis obat,3
jenis obat dipilih,1
obat dipilih dataset,1
dipilih dataset tersebut,1
dataset tersebut diunggah,1
tersebut diunggah ke,1
diunggah ke google,1
ke google drive,2
google drive sebagai,1
drive sebagai tempat,1
sebagai tempat penyimpanan,1
tempat penyimpanan yang,1
penyimpanan yang digunakan,1
digunakan oleh google,1
oleh google collaboratory,1
google collaboratory c,1
collaboratory c membuat,1
c membuat model,1
membuat model cnn,1
ini peneliti akan,3
peneliti akan membangun,1
akan membangun model,1
membangun model convulution,1
model convulution neural,1
convulution neural network,1
network untuk mengklasifikasikan,1
mengklasifikasikan jenis bentuk,1
sediaan obat kapsul,2
dan tablet kemudian,1
tablet kemudian akan,1
kemudian akan menggunakan,1
akan menggunakan arsitektur,1
menggunakan arsitektur vgg16,2
arsitektur vgg16 pada,1
vgg16 pada sistem,1
pada sistem yang,5
yang akan dibangun,2
akan dibangun d,1
dibangun d learning,1
d learning training,1
learning training proses,1
training proses learning,1
proses learning yang,1
learning yang sering,2
yang sering disebut,1
sering disebut training,1
disebut training adalah,1
training adalah untuk,1
adalah untuk melatih,1
untuk melatih model,2
melatih model cnn,1
model cnn yang,5
cnn yang dirancang,1
yang dirancang untuk,7
dirancang untuk memahami,1
untuk memahami dan,2
memahami dan membedakan,1
dan membedakan gambar,1
membedakan gambar jenis,1
obat yang diindeks,1
yang diindeks menurut,1
diindeks menurut kelasnya,1
menurut kelasnya proses,1
kelasnya proses pembelajaran,1
proses pembelajaran dilakukan,1
pembelajaran dilakukan melalui,1
dilakukan melalui beberapa,2
melalui beberapa epoch,1
beberapa epoch dengan,1
epoch dengan epoch,1
dengan epoch diambil,1
epoch diambil model,1
diambil model cnn,1
cnn yang memberikan,1
yang memberikan nilai,2
memberikan nilai indeks,1
nilai indeks akurasi,1
indeks akurasi tertinggi,1
akurasi tertinggi dalam,1
tertinggi dalam mengklasifikasikan,1
dalam mengklasifikasikan citra,1
mengklasifikasikan citra jenis,1
jenis obat besaran,1
obat besaran target,1
besaran target yang,1
target yang digunakan,1
digunakan dalam proses,2
dalam proses learning,1
proses learning ini,1
learning ini adalah,1
ini adalah akurasi,1
adalah akurasi 0999,1
akurasi 0999 dan,1
0999 dan loss,1
dan loss 005,1
loss 005 akurasi,1
005 akurasi dalam,1
akurasi dalam penelitian,1
ini merupakan variabel,1
merupakan variabel yang,1
variabel yang merepresentasikan,1
yang merepresentasikan kinerja,1
merepresentasikan kinerja yang,1
kinerja yang digunakan,1
digunakan untuk menilai,1
untuk menilai tolak,1
menilai tolak ukur,1
tolak ukur keberhasilan,1
ukur keberhasilan model,1
keberhasilan model cnn,1
model cnn untuk,1
cnn untuk mengklasifikasi,1
untuk mengklasifikasi citra,1
mengklasifikasi citra jenis,1
jenis obat proses,1
obat proses learning,1
proses learning dapat,1
learning dapat dilihat,1
pada gambar 4,4
gambar 4 berikut,2
4 berikut ini,2
berikut ini jika,1
ini jika jurnal,1
1031000jikav7i49751 jika 459,1
jika 459 copyright,1
459 copyright 2023,1
international license gambar,2
license gambar 4,1
gambar 4 flowchart,1
4 flowchart proses,1
flowchart proses learning,1
proses learning e,1
learning e testing,1
e testing proses,1
testing proses pengujian,1
proses pengujian merupakan,1
pengujian merupakan tahap,1
merupakan tahap terakhir,1
tahap terakhir dalam,2
terakhir dalam keseluruhan,1
dalam keseluruhan sistem,1
keseluruhan sistem penelitian,1
sistem penelitian tahap,1
penelitian tahap pengujian,1
tahap pengujian dimulai,1
pengujian dimulai dengan,1
dimulai dengan melakukan,1
dengan melakukan pengubahan,1
melakukan pengubahan ukuran,1
pengubahan ukuran citra,1
ukuran citra input,1
citra input agar,1
input agar sesuai,1
agar sesuai dengan,1
sesuai dengan model,1
dengan model yang,1
model yang diinginkan,1
diinginkan setelah dilakukan,1
setelah dilakukan pengubahan,1
dilakukan pengubahan ukuran,1
pengubahan ukuran convolutional,1
ukuran convolutional neural,1
network cnn akan,1
cnn akan melakukan,1
akan melakukan klasifikasi,1
klasifikasi citra input,1
citra input hasil,1
input hasil dari,1
hasil dari proses,2
dari proses klasifikasi,1
proses klasifikasi cnn,1
klasifikasi cnn adalah,1
cnn adalah klasifikasi,1
adalah klasifikasi jenis,1
jenis obat dan,1
obat dan probabilitas,1
dan probabilitas citra,1
probabilitas citra uji,1
citra uji f,1
uji f saving,1
f saving model,1
saving model pada,1
model pada fase,1
pada fase ini,1
fase ini peneliti,1
peneliti akan menyimpan,1
akan menyimpan sampel,1
menyimpan sampel yang,1
sampel yang akan,1
akan digunakan dalam,1
digunakan dalam perangkat,1
dalam perangkat lunakwebsite,1
perangkat lunakwebsite hasil,1
lunakwebsite hasil penyimpanan,1
hasil penyimpanan model,1
penyimpanan model ini,1
model ini akan,2
ini akan berbentuk,1
akan berbentuk file,1
berbentuk file dengan,1
file dengan ekstensi,1
dengan ekstensi h5,1
ekstensi h5 di,1
h5 di mana,1
di mana fileh5,1
mana fileh5 adalah,1
fileh5 adalah file,1
adalah file data,1
file data yang,1
data yang disimpan,4
yang disimpan dalam,3
disimpan dalam format,1
dalam format data,1
format data hirarki,1
data hirarki hdf,1
hirarki hdf yang,1
hdf yang berisi,1
yang berisi array,1
berisi array multidimensi,1
array multidimensi 5,1
multidimensi 5 pembuatan,1
5 pembuatan aplikasi,1
pembuatan aplikasi menggunakan,1
aplikasi menggunakan metode,1
menggunakan metode extreme,2
metode extreme programming,3
extreme programming tahap,1
programming tahap implementasi,1
tahap implementasi metode,1
implementasi metode extreme,1
extreme programming merupakan,1
programming merupakan tahap,1
merupakan tahap pembuatan,1
tahap pembuatan aplikasi,1
pembuatan aplikasi berbasis,1
aplikasi berbasis web,2
berbasis web nurkholis,1
web nurkholis et,1
nurkholis et al,1
al 2021 dengan,1
2021 dengan mengimplementasikan,1
dengan mengimplementasikan model,1
mengimplementasikan model cnn,1
cnn yang telah,2
yang telah selesai,1
telah selesai dibuat,1
selesai dibuat sebelumnya,1
dibuat sebelumnya tahapan,1
sebelumnya tahapan dalam,1
tahapan dalam metode,1
dalam metode pengembangan,2
metode pengembangan sistem,4
pengembangan sistem extreme,1
sistem extreme programming,1
extreme programming yaitu,1
programming yaitu a,1
yaitu a planning,1
a planning tahap,1
planning tahap perencanaan,1
tahap perencanaan dapat,1
perencanaan dapat dimulai,1
dapat dimulai dengan,1
dimulai dengan mendengarkan,1
dengan mendengarkan rangkaian,1
mendengarkan rangkaian kebutuhan,1
rangkaian kebutuhan dari,1
kebutuhan dari suatu,1
dari suatu sistem,1
suatu sistem yang,5
sistem yang memungkinkan,1
yang memungkinkan pengguna,3
memungkinkan pengguna memahami,1
pengguna memahami proses,1
memahami proses bisnis,1
proses bisnis sistem,1
bisnis sistem dan,1
sistem dan mendapatkan,1
dan mendapatkan pemahaman,1
mendapatkan pemahaman yang,2
pemahaman yang jelas,1
yang jelas tentang,1
jelas tentang fitur,1
tentang fitur utama,1
fitur utama fungsionalitas,1
utama fungsionalitas dan,1
fungsionalitas dan keluaran,1
dan keluaran yang,2
keluaran yang diinginkan,1
yang diinginkan sistem,1
diinginkan sistem yang,1
akan dibangun dilengkapi,1
dibangun dilengkapi dengan,1
dilengkapi dengan fitur,1
dengan fitur pengambilan,1
fitur pengambilan gambar,1
gambar secara langsung,2
langsung pada saat,1
pada saat penginputan,1
saat penginputan gambar,1
penginputan gambar dan,1
gambar dan untuk,1
dan untuk hasil,1
untuk hasil keluaran,1
hasil keluaran yang,1
keluaran yang dihasilkan,1
yang dihasilkan akan,3
dihasilkan akan mengeluarkan,1
akan mengeluarkan hasil,1
mengeluarkan hasil klasifikasi,1
hasil klasifikasi berupa,1
klasifikasi berupa transkip,1
berupa transkip suara,1
transkip suara selain,1
suara selain itu,1
selain itu adapun,1
itu adapun kebutuhan,1
adapun kebutuhan sistem,1
kebutuhan sistem merupakan,1
sistem merupakan penjelasan,1
merupakan penjelasan mengenai,1
penjelasan mengenai sistem,1
mengenai sistem klasifikasi,1
sistem klasifikasi jenis,1
jenis obat agar,1
obat agar proses,1
agar proses pelaksanaannya,1
proses pelaksanaannya lebih,1
pelaksanaannya lebih mudah,1
lebih mudah dilakukan,1
mudah dilakukan b,1
dilakukan b design,1
b design pada,1
design pada tahap,1
pada tahap design,1
tahap design ini,1
design ini divisualisasikan,1
ini divisualisasikan flowchart,1
divisualisasikan flowchart yang,1
flowchart yang tujuannya,1
yang tujuannya adalah,1
tujuannya adalah untuk,4
adalah untuk memperjelas,1
untuk memperjelas gambaran,1
memperjelas gambaran alur,1
gambaran alur kerja,1
alur kerja aplikasi,1
kerja aplikasi yang,1
aplikasi yang dibuat,2
yang dibuat dapat,3
dibuat dapat dilihat,3
pada gambar 5,4
gambar 5 sebagai,1
5 sebagai berikut,1
sebagai berikut gambar,6
berikut gambar 5,2
gambar 5 flowchart,1
5 flowchart aplikasi,1
flowchart aplikasi c,1
aplikasi c coding,1
c coding perancangan,1
coding perancangan sistem,1
perancangan sistem dalam,1
sistem dalam sistem,1
dalam sistem tersebut,1
sistem tersebut dibuat,1
tersebut dibuat dengan,1
dibuat dengan menggunakan,3
network cnn yang,2
yang telah dirancang,1
telah dirancang sebelumnya,1
dirancang sebelumnya untuk,1
sebelumnya untuk membuat,1
untuk membuat tampilan,1
membuat tampilan dari,1
tampilan dari user,1
dari user interface,1
user interface menggunakan,1
interface menggunakan bantuan,1
menggunakan bantuan library,1
bantuan library flask,1
library flask python,1
flask python untuk,1
python untuk membuat,1
untuk membuat script,1
membuat script coding,1
script coding dalam,1
coding dalam sistem,1
dalam sistem menggunakan,1
sistem menggunakan html,1
menggunakan html dan,1
html dan untuk,1
dan untuk metode,1
untuk metode pengembangannya,1
metode pengembangannya menggunakan,1
pengembangannya menggunakan metode,1
extreme programming yang,1
programming yang dimana,1
dimana metode tersebut,1
metode tersebut lebih,1
tersebut lebih sering,1
lebih sering digunakan,1
sering digunakan untuk,1
digunakan untuk pengembangan,1
untuk pengembangan aplikasi,1
pengembangan aplikasi yang,1
aplikasi yang sederhana,1
yang sederhana d,1
sederhana d testing,1
d testing jika,1
testing jika jurnal,1
1031000jikav7i49751 jika 460,1
jika 460 copyright,1
460 copyright 2023,1
international license pada,1
license pada tahap,1
tahap ini hal,1
ini hal yang,1
hal yang dilakukan,1
dilakukan adalah menguji,1
adalah menguji sistem,1
sistem yang telah,5
yang telah dibangun,2
telah dibangun langkah,1
dibangun langkah ini,1
langkah ini sangat,1
ini sangat penting,2
penting untuk menunjang,1
untuk menunjang evaluasi,1
menunjang evaluasi sitem,1
evaluasi sitem sistem,1
sitem sistem yang,1
telah dibangun harus,1
dibangun harus melewati,1
harus melewati tahap,1
melewati tahap ini,1
tahap ini agar,1
ini agar layak,1
agar layak digunakan,1
layak digunakan apabila,1
digunakan apabila ditemukan,1
apabila ditemukan kesalahan,1
ditemukan kesalahan maka,1
kesalahan maka pengujian,1
maka pengujian tersebut,1
pengujian tersebut digunakan,1
tersebut digunakan sebagai,1
digunakan sebagai bahan,1
sebagai bahan evaluasi,1
bahan evaluasi sistem,1
evaluasi sistem untuk,1
sistem untuk memperbaiki,1
untuk memperbaiki kesalahan,1
memperbaiki kesalahan pada,1
kesalahan pada sistem,1
pada sistem metode,1
sistem metode yang,1
digunakan dalam pengujian,1
dalam pengujian sistem,2
pengujian sistem adalah,1
sistem adalah black,1
adalah black box,1
black box testing,4
box testing dengan,1
testing dengan menggunakan,1
dengan menggunakan teknik,2
menggunakan teknik boundary,1
teknik boundary value,1
boundary value analysis,1
value analysis yang,1
analysis yang berfokus,1
berfokus pada pencarian,1
pada pencarian error,1
pencarian error dari,1
error dari luar,1
dari luar atau,1
luar atau dari,1
atau dari sisi,1
dari sisi dalam,1
sisi dalam perangkat,1
dalam perangkat lunak,1
perangkat lunak berikut,1
lunak berikut merupakan,1
berikut merupakan langkahlangkah,1
merupakan langkahlangkah pengujian,1
langkahlangkah pengujian sistem,1
pengujian sistem menggunakan,1
sistem menggunakan black,1
menggunakan black box,1
box testing hasil,1
testing hasil dan,1
dan pembahasan 1,1
pembahasan 1 hasil,1
1 hasil pengumpulan,1
hasil pengumpulan data,1
pengumpulan data pada,1
data pada penelitian,3
pada penelitian yang,3
yang dilakukan peneliti,2
dilakukan peneliti menggunakan,1
peneliti menggunakan dataset,1
menggunakan dataset yang,3
dataset yang terdiri,7
terdiri dari jenis,1
dari jenis bentuk,1
dan tablet terbagi,1
tablet terbagi atas,1
terbagi atas 11,2
atas 11 kelas,2
11 kelas yaitu,1
kelas yaitu clindamycin,1
yaitu clindamycin hcl,2
clindamycin hcl diapet,2
hcl diapet flamar,1
diapet flamar 50,1
flamar 50 folavit,1
50 folavit laxing,1
folavit laxing omeprazole,1
laxing omeprazole ranitidine,2
omeprazole ranitidine sangobion,2
ranitidine sangobion promag,2
sangobion promag paracetamol,1
promag paracetamol undifined,1
paracetamol undifined dataset,1
undifined dataset tersebut,1
dataset tersebut telah,1
tersebut telah dikumpulkan,1
telah dikumpulkan pada,1
dikumpulkan pada saat,1
pada saat peneliti,1
saat peneliti melakukan,1
peneliti melakukan observasi,1
melakukan observasi tabel,1
tabel 2 jumlah,2
2 jumlah dataset,1
jumlah dataset no,1
dataset no label,2
no label data,1
label data train,1
data train test,1
train test 1,1
test 1 clindamycin_hcl_,1
1 clindamycin_hcl_ kapsul,2
clindamycin_hcl_ kapsul 35,1
kapsul 35 15,1
35 15 2,1
15 2 diapet_kapsul,1
2 diapet_kapsul 28,1
diapet_kapsul 28 22,1
28 22 3,1
22 3 flamar_50_tablet,1
3 flamar_50_tablet 41,1
flamar_50_tablet 41 9,1
41 9 4,1
9 4 folavit_tablet,1
4 folavit_tablet 35,1
folavit_tablet 35 15,1
35 15 5,1
15 5 laxing_kapsul,1
5 laxing_kapsul 38,1
laxing_kapsul 38 12,1
38 12 6,1
12 6 omeprazole_kapsul,1
6 omeprazole_kapsul 39,1
omeprazole_kapsul 39 11,1
39 11 7,1
11 7 ranitidine_tablet,1
7 ranitidine_tablet 38,1
ranitidine_tablet 38 12,1
38 12 8,1
12 8 sangobion_kapsul,1
8 sangobion_kapsul 27,1
sangobion_kapsul 27 23,1
27 23 9,1
23 9 promag_tablet,1
9 promag_tablet 43,1
promag_tablet 43 7,1
43 7 10,1
