Unigram,Frekuensi
melalukan,2
berpotensi,15
infeksi,8
pendarahan,1
pasca,5
pembekuan,1
darah,55
resikoresiko,1
semestinya,8
patut,1
dipertimbangkan,4
memperlihatkan,6
terfokus,3
ketidak,2
cukupan,1
kebugaran,109
terjebak,1
tercermin,4
dipenuhi,10
pesanpesan,1
cole,8
turner,7
15253,1
kehidupannya,3
gen,3
semata,5
tindakan,71
menujukan,1
budayanya,1
15657,1
persepsi,19
inginkan,5
berat,57
denich,3
ifdil,4
2015,95
56,10
berkontribusi,13
mental,118
ditautkan,1
lingkungannya,4
sejauh,4
fisiknya,1
mengembangkan,40
dihidupi,2
dimaknai,1
natural,14
kecenderungannya,1
dikonstruksikan,1
social,76
constructed,1
dipersepsi,1
entitas,2
mengagungkan,1
dipandang,10
terpisahkan,4
mencerminkan,10
awalnya,7
sifatnya,6
197,1
semu,2
fungsional,21
menghilangkan,2
nonfungsional,1
psikososial,3
bensoussan,4
before,2
after,2
studistudi,1
1960,1
2014,74
28991,1
biasanya,25
puncaknya,2
pasien,47
289,2
memang,17
mampu,102
kulitas,1
temporer,1
berpendapat,11
keseragaman,1
alami,14
mengingat,15
unik,15
dikritik,1
penolakan,14
penerimaan,8
kecintaan,1
hak,82
menyangkut,7
sarah,4
bonell,4
berjudul,15
knife,2
unfavorable,2
perceptions,3
women,13
who,15
seek,8
segi,6
murphy,3
griffiths,3
mengasosiasikan,1
visual,14
kebaikan,5
198,1
emosional,16
kompetensi,6
1213,1
mengindikasikan,3
lepas,11
penghinaan,3
interpersonal,3
profesional,2
karier,1
padangan,4
kesempurnaan,3
tindak,6
menjamin,11
terhindar,4
walapun,1
halhal,25
didorong,6
rangka,11
dibahas,4
beserta,6
menuai,2
problema,2
diskusi,12
menanggapi,2
ranah,8
memposisikan,3
hakim,2
199,1
tradisi,9
kristiani,3
dipertemukan,1
pengalaman,34
kontemporer,4
pernyataan,8
bertentangan,15
1989,3
69,11
remeh,1
konseptual,2
mempertahankan,11
tampil,12
sumbangan,1
tenggelam,1
jaman,1
anugerah,5
ketertujuan,1
160,11
kasihnya,1
menyentuh,2
batin,1
terpengaruh,5
biologi,6
kedalaman,4
eksistensi,4
tempat,51
pemahaman,22
merespons,2
159,2
spiritual,25
terpenuhi,13
olehnya,2
bermuara,4
paradoks,1
sisi,40
tuhan,113
menekankan,14
kehendak,5
mencoba,14
idealnya,2
hidupnya,17
serius,17
dicapai,11
penghargaan,8
menjadikan,33
menciptakan,33
artinya,26
direkayasa,1
genetik,2
200,12
terciptanya,4
kodrat,2
mengacu,12
penciptanya,1
rabim,4
made,8
intelektual,5
kehadiran,11
jasmani,74
sifat,15
merepresentasikan,4
unsur,14
hakikatnya,2
konkret,4
kasatmata,1
plaisier,6
unsurunsur,6
manusiawi,2
makna,17
dipisahkan,2
kehilangan,5
kekhasannya,1
makhluk,10
segambar,1
menuntut,10
sikap,37
mulia,5
meneguhkan,3
dihormati,2
dijaga,2
wujud,3
panggilan,4
keasliannya,1
dosa,3
esensi,1
kenyataannya,5
dicoret,1
bdn,1
kej,1
mentalnya,1
menghadap,2
2425,1
inti,6
identitasnya,2
mengenal,13
sang,7
pencipta,2
mengasihi,2
menyembah,1
arti,13
moralnya,1
berpusat,1
jadi,19
berkomunikasi,19
menggugat,1
mengikutinya,2
keterpisahan,1
cidera,1
kecelakaan,2
pemeliharaan,13
kudus,18
memunculkan,8
menghormati,7
yohanes,2
paulus,6
ii,13
simbol,7
tanda,20
sakramen,1
misteri,2
102,5
realitas,11
merasakannya,1
ilahi,1
sekedar,5
wadah,5
saluran,23
perantara,2
kenyataan,12
saksikan,2
mengajarkan,18
merawat,8
suci,2
sesama,7
nyata,19
keperluan,2
pemberian,25
menjaga,42
holistik,4
tato,1
tindik,2
prinsip,48
individuindividu,1
individual,5
artistik,1
spiritualitas,2
pelanggaran,14
aliran,17
evangelis,1
202,3
konservatif,2
kaku,1
ajaran,50
alkitab,33
diubah,11
apapun,4
penciptaan,4
bervariasi,3
keyakinan,8
relasi,4
ketidaknyamanan,1
perasaan,20
selaras,2
kekristenan,5
menghargai,12
situasi,20
gilirannya,2
sejalan,10
jawabnya,1
kesucian,1
dicatat,3
keseimbangan,13
tanggungjawab,4
melanggar,7
prinsipprinsip,7
batasan,14
aspekaspek,6
berpikir,33
berkreasi,2
kemauan,5
kebebasan,14
kotva,4
keterbatasan,7
biologis,2
sejarah,10
kaitannya,3
kebebasannya,3
203,1
dibatasi,5
membentuk,26
rusak,4
institusi,3
merugikan,17
batasanbatasan,1
melanggengkan,5
tampilan,63
menghidupkan,1
bertanggung,17
menghendaki,3
mandat,2
terjaga,1
sendirinya,3
korintus,5
61920,1
roma,1
1314,2
stevanus,6
163,4
bekerja,27
beristirahat,1
kejadian,43
213,4
ulangan,10
513,1
mengatur,12
tenaga,15
memuliakan,2
namanya,2
tergambar,2
larangan,3
makanan,162
hukum,97
taurat,1
dikonsumsi,9
injil,1
kristus,9
murid,9
istirahat,1
memadai,9
kasih,8
memuliakannya,2
instant,1
pengobatan,3
tugasnya,1
tubunya,1
dibenarkan,1
disebutkan,3
disalahgunakan,4
poronografi,1
dll,4
bias,4
perilaku,71
merusak,24
seks,3
narkotika,1
wajar,2
bangian,1
lalainya,1
saji,1
kesadarannya,1
dirawat,3
jawabnnya,1
hubungannya,2
diuraikan,3
penutup,4
faktorfator,1
keluar,9
kecemasan,10
kebutuhannya,4
dimunculkan,1
mengajak,1
205,1
jeancharles,1
michael,5
bolton,1
pi,6
allycin,1
powellhicks,1
anna,1
postolova,1
bahram,1
razani,1
kevin,3
reyes,1
waguih,1
william,1
ishak,1
cns,1
spectrums,1
28292,1
httpsdoiorg101017,1
s1092852913000606,1
sean,1
scott,1
edited,2
plos,1
one,17
e0257145,1
httpsdoiorg101371,1
journalpone0257145,1
ronald,1
our,4
role,10
faith,7
debate,1
m,139
mangum,1
minneapolis,1
fortress,1
press,22
amandha,1
unziila,1
remaja,177
putri,22
konseling,2
5561,1
httpsdoiorg1029210116500,1
rinawati,2
amanah,4
pemrosesan,6
diponegoro,4
christian,4
case,27
virtue,1
ethics,2
wasington,1
georgertown,1
university,17
hanum,1
httpsdoiorg1030596,1
persepsivvii6636,1
arie,1
jan,1
terobosanterobosan,1
antropologi,1
bpk,1
gunung,5
david,4
raymundus,1
komersialisasi,1
httpsscholar,1
googlecomcitationsview_opview_ci,1
tationhlenoeasciiuserl0,1
gorjwaaaajpagesize100so,1
rtbypubdatecitation_for_wiew,1
l0gorjwaaaajj3f4tgmqtd8c,2
fimela,2
october,12
https,8
wwwfimelacombeautyread3828669,2
fenomenamaraknyatubuhplastikdi,2
koreaselatan,2
roland,2
ourselves,2
biomedical,3
grace,2
theological,4
quarterly,4
206,2
tarsius,2
langganan,3
ganti,2
sinarindo,2
february,4
httpswwwsiarindocom,2
hiburanpr7937586800jadinegara,2
langgananoperasigantikelamin,2
ternyatainialasanbanyaktransgender,2
dithailand,2
kalis,2
menyoal,2
kesembuhan,8
questioning,2
concept,5
healing,3
15970,2
doiorg1046494pscv17i2154,2
tim,6
conflicts,6
prs,2
global,30
open,10
httpsdoi,3
org101097gox0000000000002043,2
farid,2
hamid,2
nindyta,2
aisyah,8
devi,5
rosfina,2
ideologi,3
supremasi,3
iklan,3
protvf,2
64,13
org1024198ptvfv4i125172iew,1
httpsdoiorg1024198ptvf,1
v4i125172,1
799805,7
httpjurnalunidhaacidindexphpjteksis,7
26558238,7
pissn,29
29642132,7
jteksis,7
vol06,7
no4,9
799,1
fiber,45
optic,21
era,67
digitalisasi,6
pemerataan,6
telekomunikasi,11
khaerul,1
insania,1
fransciskus,1
antonius,2
alijoyob,1
aschool,1
stmik,6
likmi,2
bandung,23
insanii05gmailcom,1
bschool,1
fransciskusantoniusalijoyo63gmailcom,1
submitted,1
26072024,1
reviewed,1
03082024,1
accepted,10
29082024,1
httpsdoiorg1047233jteksisv6i41572,1
provider,10
isp,6
provides,2
end,2
users,4
promising,2
opportunity,2
unequal,1
distribution,4
opticbased,2
infrastructure,3
society,24
core,4
people,9
are,34
limited,2
enjoy,2
connections,2
certain,3
areas,5
productivity,3
digitalized,1
world,20
address,3
understand,1
design,20
works,3
meanwhile,2
power,35
testing,43
produced,1
optical,18
line,11
terminal,10
olt,10
meter,17
opm,3
we,6
find,1
out,11
condition,2
link,12
will,13
distribute,2
customers,2
get,20
stable,2
aim,4
evaluate,2
ftth,22
home,20
used,17
regions,1
including,6
underserved,1
presence,2
hoped,1
equal,1
telecommunications,1
achieved,5
services,5
ispftth,2
homefiber,2
menyediakan,19
pengguna,55
enduser,2
menjanjikan,6
meratanya,1
menikmati,7
koneksi,15
menunjang,10
produktifitas,1
didunia,2
perancangan,67
infrastrukturnya,1
distribusikan,2
pelanggan,40
stabil,6
terlayani,1
hadirnya,3
tengahtengah,1
murah,5
license,15
ccby,1
komunikasi,52
memfasilitasi,6
dibutuhkan,29
binis,1
berfungsi,41
memudahkan,17
disamping,5
beriringan,1
ilmu,112
menyebarkan,11
penyelenggara,3
apjii,2
221563479,1
jiwa,24
278696200,1
survei,7
penetrasi,5
net,3
795,1
musim,11
peningkatannya,2
kabel,17
tembaga,9
anggap,2
menampung,4
kapasitas,11
bandwidth,7
berkecepatan,1
beroperasinya,1
satelit,1
palapa,1
skso,1
serat,10
optik,20
800,3
terbarukan,3
perangkat,56
dikatakan,20
arsitektur,87
berbahan,4
cahaya,7
transmisinya,2
mengirim,8
kecepatannya,2
mentransmisikan,2
jaket,2
pelindung,3
coating,2
kelongsong,2
claddingtube,2
menghantarkan,2
video,13
ialah,3
detektor,1
pengirim,7
penerima,15
gelombang,5
sepanjang,15
sinar,8
kisaran,1
nm,6
1555,2
frekuensi,18
0030,1
thz,2
0020,1
transmisi,5
bandwith,3
sekarang,36
pji,1
menyelenggarakan,1
sambungan,4
keberadaan,10
jembatan,2
format,12
penghantaran,1
penyedia,13
rumahrumah,1
penghantar,1
tergantikan,2
menyalurkan,3
maksimal,16
mbps,9
modernisasi,1
tujuannya,15
gigabit,3
passive,5
gpon,4
dikirimkan,7
sub,4
pon,4
antar,22
muka,6
sentral,11
dihubungan,1
prinsipnya,2
konfigurasi,21
multipoint,1
terjun,2
pertimbangkan,2
sla,1
agreement,10
qos,4
melewatinya,1
throughput,1
packet,1
loss,17
delay,9
user,22
pemanfaatan,71
dipungkiri,4
berawal,5
pengganti,4
kemunculan,8
triple,1
play,5
mengakses,10
broadband,3
konektivitas,4
terkoneksi,7
terjamin,2
ketahanannya,1
keamanan,88
informasinya,1
autonomos,6
asn,6
menjual,3
legal,19
warga,21
income,2
pembayaran,5
tersendiri,3
koneksikan,1
payment,3
gateway,38
tripay,1
xendit,1
online,142
otorisasi,1
menghubungkan,11
memproses,7
aman,20
utamanya,6
penggunaann,1
wirausaha,4
penjual,1
shop,1
memaksimalkan,10
potesi,1
industry,4
ecommerce,7
profit,2
perimbas,1
perorangan,6
ketidakpastian,3
teknis,6
non,24
siap,9
dinamika,11
menghadang,1
801,1
merujuk,7
menunjukan,14
utp,2
unshielded,1
twisted,1
pair,1
kecepatan,25
ethernet,2
canggih,5
mempermudah,13
penyebaran,15
dipelosok,1
didistribusikan,3
percepatan,6
tahapan,38
tentutkan,1
diagram,15
alur,17
dulu,5
topologi,9
ditahap,1
bangun,12
nap,4
protocol,2
gerbang,1
penghubung,7
domestic,1
colocation,1
aplikanusa,3
arta,2
peering,1
cimanuk,2
raya,16
masing,11
gunakan,5
fungsinya,4
kementrian,1
informatika,29
kominfo,1
pastikan,3
pegangan,2
legalitas,1
lintasarta,1
merencanakan,4
buat,2
802,2
router,5
paket,10
turunkan,1
hardware,9
endpoint,1
fios,1
framing,1
mengkoordinasi,1
multiplexing,1
konversi,3
pembuatan,54
desain,27
implementasi,83
server,22
fo,2
menjadikannya,2
ambil,3
rumahan,1
berlangganan,2
menghitung,22
looses,3
instalasi,10
aktifasi,3
losses,1
perhitungannya,1
dikirim,8
5dbm,1
rumus,6
budget,3
rugi,4
redaman,9
db,8
qty,1
redamandb,1
spliter,2
725,2
bh,5
1038,2
drop,1
010,1
konektor,3
sc,3
upc,2
025,4
adapter,3
125,4
dropcore,1
035,4
km,6
2063,1
803,3
𝛼𝑇𝑜𝑡𝑎𝑙,6
𝐿,2
𝑎𝑠𝑒𝑟𝑎𝑡,1
𝑁𝑐,2
𝑎𝑐,1
𝑁𝑠,2
𝑎𝑠,2
aa,2
𝑆p,1
𝑎a𝑠𝑒𝑟𝑎𝑡,1
dbkm,1
𝑁,2
𝛼𝑐,1
dbpasang,1
dbbuah,2
𝑁a,1
𝛼a,1
𝑆𝑝,1
splitter,1
1x0352x025,1
5x010,1
5x025,1
1763,2
sfp,1
7dbm,2
dirumah,1
selesai,7
isi,17
mikrotik,1
ppp,3
secret,1
name,2
kantorcdn,2
password,9
cdn1234,2
profile,2
1jt,1
pppoe,1
local,7
1010101,1
remote,2
10108254,1
penginputan,2
modem,8
huawei,1
hg8245h5,1
ip,8
1921681001,1
super,1
username,4
theworldinyourhand,1
awal,38
pilih,8
menu,55
lihat,14
inputkan,1
804,1
teknisi,3
nama,53
ssid,2
disesuikan,1
transfer,20
pertukaran,10
biasa,4
21,42
up,10
httpswwwspeedtestnet,1
ookla,1
menampilkan,22
httpswwwnperfcom,1
nperf,1
httpsspeedtestcbnid,1
speedtest,1
cbn,1
sangatlah,3
prospek,2
mempunya,1
subscriber,3
sisilain,1
things,29
iot,53
terintegrasi,6
terhubung,9
segala,28
805,1
peralatan,16
kendaraan,33
terimakasih,3
mengucapkan,2
lupa,1
dosen,7
pembimbing,1
mengarahkan,6
penulisan,18
dasopang,1
ilm,7
ekon,3
manaj,3
syariah,10
1240,1
mamuriyah,1
prasetyo,2
o,29
sijabat,1
rancangan,30
teknol,14
sist,4
162167,1
1047233jteksisv6i11124,1
prasetiyo,1
6571,1
w,37
fachrid,1
fitriani,1
muslim,10
jalur,42
pari,2
smallword,1
djournalscom,1
296302,1
available,9
httpdjournalscomresolusiarticleview748,1
percabangan,1
aktivasi,16
penambahan,9
298304,1
hadi,1
u,13
zailani,1
migrasi,1
wireless,4
epon,2
dapur,1
inform,4
multi,3
379388,1
sari,4
riau,13
putra,9
saputra,5
wirastuti,1
permata,1
anggrek,35
multidisiplin,6
31793185,1
sidik,4
building,10
fttb,2
collin,2
boulevard,1
info,6
nusa,2
tama,1
jagakarsa,1
dadan,1
boulevar,1
110,8
setyanugraha,1
hasibuan,2
anteseden,1
loyalitas,1
laxo,1
2130,1
may,7
1037058jemv6i11475,1
muliandhi,1
faradiba,1
nugroho,3
indihome,1
telkom,2
witel,1
elektrika,1
jun,1
1026623elektrikav12i11977,1
daffa,1
aditya,3
rachman,3
yusuf,22
muhyidin,1
muhamad,3
agus,1
sunandar,1
xyz,1
wireshark,1
storage,55
tek,2
komput,4
214222,1
1055123storagev2i42531,1
translated,3
google,18
lessy,2
sutiyono,2
aji,3
7889,2
943,1
959,1
1054209infosainsv14i01,1
indra,2
alijoyo,1
rancang,10
pembelian,3
voucher,1
radius,2
310321,1
1047233jteksisv6i21340,1
lumban,1
mempenagruhi,1
petilaku,1
621628,1
httpsdoiorg1031933jemsiv3i6,1
enterprise,6
risk,8
erm,1
value,17
chain,2
vc,1
cycle,7
lcc,1
pen,3
9644,1
tantoni,1
taufan,1
zaen,1
imtihan,1
calculator,1
impementasi,1
hsqg,1
klik,1
kaji,1
11081120,1
1030865klikv3i6842,1
angga,1
darmawan,1
heru,1
abrianto,1
berteknologi,1
palmerah,1
123,2
wijaya,10
darma,1
scitech,1
7482,1
yuseliani,1
odp,1
branching,1
gedung,4
lantai,1
politeknik,3
padang,8
poli,2
1030630jipr172236,1
hanayuda,1
linux,4
clearosu,1
netw,1
comput,3
3746,1
httprepositoryupbatamacid24340ahttpreposi,1
toryupbatamacid24341cover,1
iiipdf,1
1827,1
mppki,9
publisher,9
muhammadiyah,40
palu,8
control,16
hipertensi,108
pegawai,65
gubernur,27
aceh,44
banda,12
hypertension,5
governor,1
office,8
employees,4
city,9
riza,1
yana1,1
tahara,1
dilla,1
santi2,1
farrah,1
fahdhienie3,1
dharina,1
baharuddin4,1
1234program,1
farrahfahdhienieunmuhaacid,1
menular,4
ptm,2
memicu,5
mematikan,2
jantung,39
stroke,5
kebiasan,3
diet,4
tidur,14
lingkar,29
perut,35
bmi,25
mass,14
milik,8
kontrol,54
4667,8
8667,7
bivariat,2
0001,23
001004,2
007030,2
sebaiknya,5
kepala,22
dinas,6
promosi,11
penyuluhan,6
isra,4
mencanangkan,2
senam,12
edukasi,19
makan,22
introduction,2
noncommunicable,1
diseases,10
most,5
serious,1
trigger,1
deadly,1
heart,1
objective,2
activity,16
smoking,2
abdominal,9
circumference,4
incidence,3
quantitative,3
sample,3
taken,1
form,7
namely,3
belonging,1
researcher,1
many,5
cases,3
controls,1
result,7
univariate,2
moderate,1
smokers,1
had,5
bivariate,1
conclusion,4
recommended,4
head,6
carry,3
promotion,3
counseling,3
besides,1
field,11
launch,2
programs,1
healthy,26
exercise,17
education,40
smoke,1
issn,152
2597,1
6052,1
httpsdoiorg1056338mppkiv6i93605,1
publikasi,5
articles,1
1828,1
sistolik,3
mmhg,2
diastolik,3
otak,8
ginjal,12
dini,64
germas,1
gerakan,22
buah,11
sayur,1
cek,2
berkala,5
kementerian,20
republik,38
pilar,1
gizi,70
seimbang,5
cakupannya,1
memantau,8
piringku,1
porsi,5
lauk,9
pauk,6
sayuran,2
programprogram,3
preventif,4
early,5
warning,2
organization,4
afrika,3
27,24
asia,5
tenggara,4
menempati,4
arrmilawaty,1
kasumayanti,2
diperkirakan,10
sekitar,61
2025,8
639,1
115,3
milyar,1
betapa,11
penderita,7
terkontrol,5
riskesdas,5
3411,1
umur,16
6953,1
3685,1
5156,1
3973,1
tinggal,19
3443,1
provinsi,51
terendah,7
papua,6
2645,2
kabupatenkota,5
5708,1
2942,2
4128,1
2965,1
disusul,3
pnstnipolribumnbumd,1
2959,2
2903,1
bener,1
meriah,2
3675,1
simeulue,1
1847,1
2332,1
urutan,12
ke15,2
24,42
5208,1
kecamatan,9
meuraxa,1
sembilan,5
pnspegawai,1
berisiko,21
pekerja,5
duduk,9
seharian,1
dibelakang,2
meja,4
aktif,23
terkena,10
gaya,55
berjumlah,14
mahasiswa,130
sarjana,2
magister,3
mrmiliki,1
administrasi,12
organisasi,32
protokol,10
humas,1
tata,13
pemerintahan,14
tapem,1
p2k,1
keistimewaan,1
rakyat,19
rt,2
saya,12
dia,5
berdiri,4
lelahletihlesu,1
stress,8
1829,1
analitik,4
stata,1
tanggal,16
agustus,27
wawancara,25
partisipan,1
timbangan,1
stature,1
kalkulator,3
tensimeter,1
pita,1
lembar,1
rangcangan,1
perkawaninan,1
1888,1
3334,4
47,6
5222,1
1444,2
4778,1
perkawinan,1
kawin,4
3221,2
5668,2
8889,3
111,16
1111,2
sma,14
889,3
d3s1,1
2777,2
4222,2
63,8
6999,1
s2,2
1557,5
189,1
3332,2
6668,1
deskripsi,13
berjenis,7
sebanyak1888,1
1414,1
berdidikan,1
d3,1
renda,1
1830,1
3333,4
6667,2
2221,3
2665,2
42,18
5667,5
1668,2
obesitasentral,1
2333,2
7667,2
ya,3
1333,8
2778,2
4333,3
52,12
7222,2
obesitas,29
7112,1
kebiasaan,18
0sedangkan,1
004,3
1831,1
7111,3
pvalue,8
disimpulkan,27
profektif,1
guber,1
didpatkan,1
or1,1
pegawau,1
massa,10
protektif,4
stabilitas,4
denyut,3
tesebut,2
otot,19
keras,26
kontraksi,4
makin,10
memompa,3
dibebankan,3
dinding,9
arteri,2
tahanan,4
perifer,2
kurangnya,29
asupan,9
natrium,4
analisisnya,1
aktvitas,1
066,1
dilkukan,1
harahap,4
menerangkan,3
3095,2
beraktivitas,3
anggraeni,3
makassar,24
157,2
terbukti,11
atun,2
1832,1
lingakar,1
haqiqi,2
lingar,1
dewi,5
dusun,4
galan,2
tiortosari,1
kretek,2
bantul,3
0008,2
sulastri,3
3565,3
0009,1
amanda,2
martini,3
menjabarkan,1
0002,1
pr,1
2556,3
abdominalobesitas,1
trigliserida,2
kardiovaskular,4
biomedis,1
farmasi,7
departemen,7
ri,48
rahajeng,2
tuminah,2
279,1
umbas,3
puskesmas,7
kawangkoan,2
perolehan,11
0016,1
10500,2
yashinta,1
bermakna,3
rokok,5
0017,1
samiadi,1
2016,56
nikotin,5
diserap,3
pembuluh,6
paruparu,12
diedarkan,1
bereaksi,1
kelenjar,1
adrenal,1
melepas,1
efinefrin,1
hormon,3
menyempitkan,1
dipaksa,2
karbon,3
monoksida,3
asap,3
oksigen,11
memasukan,1
organ,2
zatzat,3
kimia,3
beracun,3
zat,5
adrenalin,1
berdebar,1
pradono,1
kurus,4
penumpukan,1
resistensi,1
memompakan,1
tubuhpenelitian,1
1833,1
hendrik,2
sumatra,2
utara,22
herdiani,2
diikuti,11
nurmalina,2
berlebih,2
menyuplai,1
curah,1
ikut,5
menyimpulkan,5
aktifitas,5
scrining,1
hypertention2022,1
eviyanti,1
lansia,4
bpstw,1
sleman,18
luwu,6
202071,1
8287,1
novita,2
wijayanti,1
supriyono,1
pusdatin,1
infodatin,1
aprilia,1
maharani,1
produktif,6
pulau,25
jambu,1
uptd,1
kuok,2
ners,1
202151,1
kemenkes,14
litbangkes2018,1
hipertensi2019,1
laporan,27
profil,13
aceh2019,1
khomarun,1
maharso,1
endang,2
sj,1
jalan,64
pagi,7
stadium,1
posyandu,3
makamhaji,1
kesehatan2014,1
triyanto,1
keperawatan,18
terpadu,8
graha,4
dm,1
binar,1
nutrition,4
20132446747,1
ra,3
kintoko,1
sorimuda,1
1840,1
bromo,1
medan,6
wahiduddin,1
konsumsi,7
alkohol,1
hinsia,1
pattingalloang,1
hasanuddin,1
siswati,1
kurdanti,1
kalium,2
rias,1
gk,1
olivia,1
malang,2
sport,7
ns,3
anita,3
dc,3
pinggang,2
tirtosari,1
elmatris,1
ramadhani,3
etnik,2
minangkabau,1
majalah,3
kedokteran,6
andalas,2
2012362188,1
epidemiologi,3
2018615766,1
determinannya,1
2009591258015,1
im,6
josef,1
ejournal,2
201971,1
1834,1
setyanda,1
yog,1
lestari,7
201542,1
aula,1
le,5
stop,1
gara,1
julianto,1
intervensi,15
balitbangkes2010,1
imt,1
kelurahan,2
gayungan,1
surabaya,12
mtph,1
201932,1
velley,1
pencegahan,19
elex,1
komputindo,1
jktm,13
06,17
03,30
312,6
httpsjournalpediacom1indexphpjktmindex,13
report,9
atresia,56
esofagus,64
rs,3
patricia,1
febriyanti1,1
wulandari2,1
rutmawati3,1
tuti,1
asrianti,1
utami4,1
1234stik,1
sint,1
carolus,1
patriciafebriyanti10gmailcom1,1
pewesans08gmailcom2,1
rutmarut0gmailcom3,1
tutichaidir18gmailcom4,1
kelainan,7
bawaan,8
langka,2
10000,5
kelahiran,5
balita,17
asi,16
ekslusif,4
hilangnya,5
fistula,9
trakea,5
nutrisi,26
tumbuh,25
kembang,12
tua,59
pemenuhan,18
diit,3
susu,25
peptamen,8
junior,4
8x150cc,2
semula,5
kg,10
pernapasan,8
menaikkan,1
protein,14
dihidolisis,1
dicerna,4
formula,5
esophageal,6
congenital,1
disorders,5
births,1
prevalence,3
young,11
nutritional,5
high,10
dont,4
receive,1
exclusive,1
breast,1
milk,6
due,7
connection,3
without,3
connecting,1
esophagus,3
trachea,2
studies,17
identify,3
growth,12
flowers,1
changes,3
parents,7
fulfilment,3
child,5
occurs,2
patients,2
hospital,2
filling,1
diets,1
hours,2
successfully,1
characterized,1
regaining,1
weight,2
cuase,1
breathing,1
develompment,1
efforts,4
increase,4
suffer,1
malnutrition,2
because,10
been,8
hydolysed,1
digested,1
absorbed,1
313,3
esphageal,1
kongenital,3
mengancam,7
bayi,13
kontinuitas,2
tracheoesophageal,1
kejadiannya,1
retnaningtyas,5
lesi,2
embriogenesis,1
pastinya,1
teridentifikasi,3
armyda,3
kurniyananta,3
gejala,14
jamjam,1
dikehidupannya,1
hipersalivasi,4
muntah,7
tersedak,7
batuk,10
sianosis,4
sesak,9
nafas,14
kesulitan,22
menelan,5
ketidakmampuan,8
rifki,4
energi,25
cuenca,2
bbu,2
z,8
skor,11
antropometri,6
biokimia,1
biofisika,1
tbu,1
bbtb,2
susanti,4
munarwoh,2
1259,2
rawan,3
meminta,7
tahan,19
rentan,19
alamsyah,5
314,3
39,12
lutfiasari,2
nikmah,2
disampaikan,8
long,7
gap,8
post,42
transposisi,7
colon,13
minum,10
air,52
liur,7
aspirasi,9
bernapas,2
bunyi,7
thoraktomi,3
pemasangan,3
chest,3
tube,3
esofagostomi,3
laparotomi,3
reseksi,3
anastomosis,3
gastrocolon,3
pencernaan,22
melawan,8
penyerapan,6
dituliskan,1
315,2
asuhan,2
pengkajian,5
diagnosa,10
implementansi,1
kurun,2
riwayat,6
premature,1
bblr,1
1200,2
cm,9
keluhan,5
cair,15
minggu,6
demam,2
bolak,1
balik,16
4x,1
sehari,7
berwarna,4
hijau,4
kekuningan,1
10x,1
4kg,1
diare,2
pemeriksaan,12
tandatanda,3
kesadaran,48
composmentis,1
gcs,1
suhu,95
nadi,1
xmnt,1
35xmnt,1
spo2,1
tampak,13
baring,1
lemah,4
pucat,1
bantu,5
½,2
liter,4
akral,1
teraba,1
turgor,1
crt,1
detik,17
ronkhi,2
kasar,11
wheezing,2
abdomen,1
cembung,1
bising,2
usus,12
hiperaktif,2
bekas,4
gastrotomy,5
ditutupi,1
kassa,3
nampak,5
bersih,9
rembesan,3
vemplon,1
tangan,13
kiri,7
vaksinasi,2
hepatitis,2
penunjang,8
hemoglobin,2
109,3
gdl,2
105,2
hematokrit,2
320,4
420,1
eritrosit,2
370,1
530,1
mcvver,1
815,1
fl,2
720,1
880,1
mchher,1
284,1
pg,1
240,4
300,16
mchckher,1
360,2
leukosit,2
653,1
600,5
1400,3
trombosit,2
241,4
400,7
rdwcv,1
162,1
basofil,1
eosinofil,1
neutrofil,2
425,1
520,1
760,1
limfosit,2
477,1
089,5
monosit,1
316,2
radiografi,1
thorax,1
ap,1
asimetris,1
inspirasi,6
bentuknya,3
aorta,1
pelebaran,1
mediastinum,1
realitif,1
ditengah,1
paru,10
hilus,1
kanan,5
menebal,1
corakan,1
bronchovascular,1
infiltrat,1
kesan,5
sinus,19
costophenicus,1
hemidiafragma,1
tulangtulang,1
lunak,26
tervisualisasi,1
terpasang,1
cvc,1
jugularis,1
tip,1
terproyeksi,1
cavoatrial,1
junction,1
rotgen,1
bilateral,2
relatif,10
kedudukan,6
cvp,1
terapi,5
obatobatan,3
omeprazole,4
sirup,4
1x5,2
ml,16
domperidon,2
3x12,2
po,9
paracetamol,3
kp,1
zink,2
1x10mg,2
fluconazole,1
1x35mg,1
iv,6
levofloxacin,1
1x60,2
mg,2
inhalasi,4
salbutamol,3
selang,4
seling,2
pulmicort,2
mcgns,2
2ml12,2
mgnac,1
mgb,1
comp,1
¼,1
ad,1
azitromisin,1
lumen,2
trakeoesofagus,1
proksimal,2
distal,2
segmen,1
shieh,2
jennings,2
refluk,1
berlebihan,13
terusmenerus,3
ditelan,2
terhirup,2
napas,3
stridor,1
mengi,1
317,2
laparatomi,2
tatalaksana,2
menyambungkan,1
kantung,1
thorakotomi,1
kerongkongan,1
syifa,2
esophagostomy,2
leher,3
lewat,10
direncanakan,2
esophagoplasty,1
interposisi,2
kolon,1
retrosternal,2
laparatomy,2
sayatan,2
lambung,9
vertikel,1
rongga,1
hijriani,2
diangkat,5
bersihan,1
sekresi,1
tertahan,2
dilakukannya,2
pemantauan,3
ttv,1
monitor,3
pemantaun,1
dismotilitas,1
refluks,1
gastroesofagus,1
penanganan,11
semi,5
fowler,4
setengah,1
dinaikkan,1
derajat,8
