ngram,frequency
satu teknologi,2
memiliki bandwith,1
bandwith yang,2
dan noise,1
noise yang,1
rendah keunggulan,1
keunggulan tersebut,1
tersebut membuat,1
membuat sistem,4
komunikasi ini,1
ini semakin,2
semakin berkembang,2
berkembang hingga,1
hingga sekarang,2
sekarang 9,1
9 masyarakat,1
masyarakat umum,3
menggunakan internet,11
internet melalui,1
melalui penyelenggara,1
internet pji,1
pji atau,1
disebut dengan,6
dengan internet,3
isp yang,2
merupakan perusahaan,1
perusahaan atau,3
atau badan,2
badan yang,6
yang menyelenggarakan,1
menyelenggarakan jasa,1
jasa sambungan,1
sambungan internet,1
internet dan,9
jasa lainnya,1
lainnya yang,8
dengan teknologi,10
teknologi informasi,66
informasi di,3
indonesia 10,1
10 keberadaan,1
keberadaan ftth,1
ftth berhasil,1
berhasil menjadi,1
menjadi jembatan,1
jembatan informasi,1
lebih cepat,10
cepat dan,13
dan efisien,7
efisien ftth,1
ftth merupakan,2
suatu format,1
format penghantaran,1
penghantaran sinyal,1
sinyal optik,2
optik dari,2
pusat penyedia,3
penyedia provider,1
provider ke,1
ke rumahrumah,1
rumahrumah pelanggan,1
pelanggan dengan,1
menggunakan fiber,1
optik sebagai,3
media penghantar,1
penghantar saat,1
ini jaringan,1
jaringan lokal,1
lokal akses,1
akses tembaga,2
tembaga sudah,1
sudah mulai,5
mulai tergantikan,1
tergantikan dengan,1
dengan fiber,1
optik hal,1
karena jaringan,1
tembaga hanya,1
hanya mampu,3
mampu menyalurkan,2
menyalurkan maksimal,1
maksimal hingga,1
hingga 4,1
4 mbps,1
mbps sehingga,1
sehingga perlu,2
perlu dilakukan,7
dilakukan modernisasi,1
modernisasi tujuannya,1
tujuannya agar,2
agar mampu,2
menyalurkan bandwidth,1
bandwidth hingga,1
hingga 100,1
100 mbps,3
mbps dengan,1
menggunakan teknologi,15
teknologi gigabit,1
gigabit passive,2
passive optical,5
optical network,5
network gpon,2
gpon prinsip,1
prinsip kerja,1
kerja dari,1
dari gpon,1
gpon itu,1
sendiri ketika,1
ketika data,3
data atau,10
atau sinyal,1
sinyal dikirimkan,1
dikirimkan dari,1
dari optical,2
olt yang,2
merupakan sub,1
sub sistem,1
sistem dari,1
optical access,1
access network,1
network yang,2
berdasarkan teknologi,1
teknologi passive,1
network pon,3
pon berfungsi,1
berfungsi sebagai,17
sebagai antar,1
antar muka,2
muka sentral,1
sentral dengan,6
dengan jaringan,5
yang dihubungan,1
dihubungan ke,1
ke satu,1
satu atau,7
lebih jaringan,1
jaringan distribusi,1
distribusi optik,2
optik pada,1
pada prinsipnya,2
prinsipnya passive,1
pon adalah,1
satu jenis,1
jenis teknologi,1
teknologi fiber,2
optic yang,1
menggunakan konfigurasi,1
konfigurasi sistem,1
sistem point,1
point to,1
to multipoint,1
multipoint 11,1
11 kemudian,1
kemudian selain,1
itu sebelum,1
sebelum kita,3
kita terjun,1
terjun di,1
di bisnis,1
bisnis internet,2
jaringan perlu,1
perlu kita,2
kita pertimbangkan,1
pertimbangkan dari,1
segi kualitas,1
dan sla,1
sla service,1
service level,1
level agreement,1
agreement penerapan,1
penerapan jaringan,1
internet ini,3
harus memiliki,6
memiliki standar,1
standar layanan,1
layanan yaitu,1
yaitu quality,1
service qos,1
qos qos,1
qos adalah,2
adalah kumpulan,1
kumpulan dari,1
sebuah jaringan,2
jaringan untuk,1
memberikan layanan,2
layanan lalu,1
lintas data,1
yang melewatinya,1
melewatinya dari,1
dari hal,2
maka perlu,3
dilakukan analisa,1
analisa qos,1
qos quality,1
service untuk,5
mengatasi permasalahan,6
permasalahan tersebut,3
tersebut parameter,1
parameter dari,1
dari qos,1
adalah throughput,1
throughput packet,1
packet loss,1
loss dan,1
dan delay,1
delay 12,1
12 ftth,1
merupakan format,1
format transmisi,1
transmisi sinyal,1
penyedia layanan,4
layanan ke,2
ke lokasi,1
lokasi user,1
user melalui,1
melalui pemanfaatan,2
pemanfaatan fiber,1
sebagai jaringan,1
jaringan transmisi,1
transmisi perkembangan,1
teknologi tidak,3
tidak dipungkiri,1
dipungkiri berawal,1
berawal dari,4
sebagai pengganti,1
pengganti pemakaian,1
pemakaian kabel,1
tembaga hingga,1
hingga kemunculan,1
kemunculan layanan,1
layanan yang,5
diketahui sebagai,1
sebagai triple,1
triple play,1
play service,1
service dimana,2
dimana user,1
user dapat,1
dapat mengakses,3
mengakses layanan,1
layanan data,1
data suara,1
suara serta,1
serta video,1
video hal,1
ini pula,1
pula disebutkan,1
disebutkan sebagai,1
sebagai keunggulan,1
keunggulan yang,1
dimiliki oleh,9
oleh ftth,1
ftth broadband,1
broadband adalah,1
adalah akses,1
internet dengan,2
dengan jaminan,1
jaminan konektivitas,1
konektivitas yang,1
yang selalu,5
selalu terkoneksi,1
terkoneksi terjamin,1
terjamin ketahanannya,1
ketahanannya dan,1
dan keamanan,4
keamanan informasinya,1
informasinya 13,1
13 proses,1
proses bisnis,3
bisnis pada,1
adalah penyelenggara,1
jasa jual,1
jual kembali,1
kembali internet,1
internet atau,3
atau disebut,2
disebut internet,2
sudah memiliki,3
memiliki autonomos,1
autonomos system,6
system number,6
number asn,1
asn menjual,1
menjual akses,1
internet secara,2
secara legal,1
legal kepada,1
kepada enduser,1
enduser atau,1
atau warga,1
warga yang,1
ada di,36
lokasi tersebut,1
tersebut tentu,2
tentu hal,1
ini menarik,1
menarik untuk,4
untuk dijadikan,3
bahan penelitian,1
penelitian karena,1
karena jika,1
kita mempunyai,1
mempunyai banyak,6
banyak pelanggan,1
pelanggan maka,1
akan banyak,1
juga income,1
income yang,1
dapat adapun,1
adapun untuk,1
untuk pembayaran,1
pembayaran tiap,1
tiap bulannya,1
bulannya kita,1
kita menggunakan,1
menggunakan aplikasi,5
aplikasi internet,1
internet tersendiri,1
tersendiri yang,1
sudah di,7
di koneksikan,1
koneksikan dengan,1
dengan payment,2
payment gateway,3
gateway yaitu,1
yaitu tripay,1
tripay dan,1
dan xendit,1
xendit payment,1
gateway merupakan,1
suatu layanan,1
layanan dalam,1
dalam proses,23
proses pembayaran,1
pembayaran online,1
online layanan,1
layanan ini,1
ini memberikan,5
memberikan otorisasi,1
otorisasi dan,1
dan menghubungkan,1
menghubungkan sistem,1
sistem yang,31
yang dibuat,14
dengan lembaga,2
lembaga keuangan,1
keuangan untuk,3
untuk memproses,2
memproses transaksi,1
transaksi secara,1
secara aman,1
aman dan,9
efisien 14,1
14 bisnis,1
bisnis adalah,2
adalah usaha,1
dijalankan yang,1
yang tujuan,1
tujuan utamanya,1
utamanya adalah,1
adalah keuntungan,1
keuntungan dalam,1
dalam penggunaann,1
penggunaann internet,1
internet berdasarkan,1
berdasarkan jenis,5
jenis pekerjaan,1
pekerjaan wirausaha,1
wirausaha dan,2
dan penjual,1
penjual online,1
online shop,1
shop telah,1
telah memaksimalkan,1
memaksimalkan potesi,1
potesi internet,1
internet hal,1
bahwa internet,1
internet telah,1
telah banyak,2
banyak memberikan,1
memberikan manfaat,7
manfaat dalam,2
dalam industry,1
industry ecommerce,1
ecommerce untuk,1
meningkatkan profit,1
profit perimbas,1
perimbas pada,1
peningkatan ekonomi,1
ekonomi baik,1
baik perorangan,1
perorangan maupun,1
perusahaan 15,1
15 tidak,1
ada bisnis,1
bisnis yang,3
yang bebas,2
bebas dari,3
dari ketidakpastian,1
ketidakpastian dan,1
dan masalah,5
masalah baik,2
baik teknis,1
teknis maupun,1
maupun non,1
non teknis,1
teknis oleh,1
itu para,3
para wirausaha,1
wirausaha harus,1
harus siap,1
siap menghadapi,2
menghadapi berbagai,2
berbagai tantangan,1
dan dinamika,3
dinamika yang,2
yang menghadang,1
menghadang 16,1
16 jurnal,1
2024 801,1
801 dengan,1
dengan merujuk,1
merujuk penelitian,1
penelitian atau,2
atau studi,2
telah membahas,1
membahas topik,1
topik serupa,1
serupa menunjukan,1
menunjukan bahwa,6
bahwa kabel,1
kabel jaringan,1
yang di,46
di pakai,1
pakai masih,1
masih menggunakan,4
menggunakan kabel,2
kabel berbasis,1
berbasis utp,1
utp unshielded,1
unshielded twisted,1
twisted pair,1
pair yang,1
dimana kabel,1
kabel ini,2
memiliki keterbatasan,2
keterbatasan kecepatan,1
kecepatan dan,4
dan bandwidth,1
bandwidth meskipun,1
meskipun kabel,1
kabel utp,1
utp bisa,1
bisa mendukung,1
mendukung kecepatan,2
kecepatan jaringan,1
cukup tinggi,9
seperti gigabit,1
gigabit ethernet,1
ethernet 1000,1
1000 mbps,1
mbps kabel,1
memiliki batasan,1
batasan dalam,1
hal bandwidth,1
bandwidth dibandingkan,1
lebih baru,1
baru atau,3
atau kabel,1
kabel yang,1
lebih canggih,2
canggih oleh,1
ini berjudul,1
berjudul bisnis,1
telekomunikasi penelitian,1
diharapkan bisa,1
bisa mempermudah,1
mempermudah penggunaan,1
penggunaan dan,2
dan penyebaran,4
penyebaran akses,1
internet dipelosok,1
dipelosok melalui,1
melalui internet,9
isp menggunakan,1
menggunakan media,3
media kabel,2
optic agar,1
agar yang,1
canggih dan,2
teknologi terbarukan,1
terbarukan sehingga,1
sehingga kualitas,1
kualitas internet,1
yang didistribusikan,1
didistribusikan ke,1
pelanggan rumah,1
rumah stabil,1
optimal selain,1
untuk membantu,10
membantu percepatan,1
percepatan pemerataan,1
infrastruktur akses,1
dan telekomunikasi,2
telekomunikasi yang,1
indonesia metode,1
penelitian pada,1
penelitian kali,2
kali ini,3
ini penulis,12
penulis melakukan,3
melakukan beberapa,4
beberapa tahapan,4
tahapan penelitian,2
di tentutkan,1
tentutkan berikut,1
berikut adalah,7
gambar dari,2
dari tahapan,3
tahapan tahapan,1
tahapan gambar,1
1 diagram,1
diagram alur,1
alur penelitian,4
penelitian pertama,1
pertama kita,1
kita gambar,2
gambar dulu,1
dulu topologi,1
topologi jaringan,3
dimana ditahap,1
ditahap ini,1
adalah tahap,2
tahap yang,3
paling penting,2
menentukan kualitas,1
kualitas jaringan,2
kita bangun,1
bangun seperti,1
seperti memilih,1
memilih perangkat,1
jaringan kemudian,1
kemudian menentukan,1
menentukan layanan,1
layanan nap,3
nap network,2
network access,2
access protocol,2
protocol sebagai,1
sebagai gerbang,1
gerbang penghubung,1
penghubung ke,1
ke jaringan,3
jaringan internasional,1
internasional agar,1
agar provider,1
provider yang,2
indonesia bisa,1
bisa mendapatkan,2
yang sifatnya,4
sifatnya non,1
non domestic,1
domestic internasional,1
internasional disini,1
disini kita,1
kita colocation,1
colocation layanan,1
protocol dari,1
dari pt,2
pt aplikanusa,3
aplikanusa lintas,2
lintas arta,2
arta dikarenakan,1
dikarenakan layanan,1
nap dari,1
arta banyak,1
banyak memiliki,4
memiliki peering,1
peering layanan,1
ke koneksi,1
koneksi internasional,1
internasional dan,4
dan isp,1
isp internet,1
kita pakai,2
pakai yaitu,1
yaitu pt,1
pt anugerah,2
anugerah cimanuk,2
cimanuk raya,2
raya gambar,2
gambar 2,25
2 topologi,1
internet selanjutnya,1
selanjutnya mengidentifikasi,1
mengidentifikasi asn,1
asn autonomos,5
number pada,1
pada masing,2
masing masing,5
masing layanan,1
kita gunakan,1
gunakan fungsinya,1
fungsinya untuk,1
mendeteksi apakah,1
apakah layanan,1
pakai itu,1
itu sudah,1
memiliki asn,2
number dan,1
dan sudah,2
sudah terdaftar,1
di kementrian,1
kementrian komunikasi,1
dan informatika,2
informatika kominfo,1
kominfo karena,1
karena ketika,1
ketika kita,1
kita ingin,1
melakukan proses,6
proses jual,1
jual beli,2
beli internet,1
internet pastikan,1
pastikan kita,1
kita sudah,1
number sebagai,1
sebagai pegangan,1
pegangan legalitas,1
legalitas perusahaan,1
perusahaan internet,1
internet kita,1
gambar 3,16
3 asn,1
number pt,2
gambar 4,14
4 asn,1
aplikanusa lintasarta,1
lintasarta selanjutnya,1
selanjutnya kita,3
kita akan,3
akan merencanakan,1
merencanakan topologi,1
topologi ftth,1
home yang,1
akan di,9
di buat,1
buat yaitu,1
yaitu adalah,1
adalah jurnal,3
2024 802,1
802 gambar,1
gambar 5,13
5 infrastruktur,1
jaringan berbasis,1
berbasis ftth,4
home kita,1
kita harus,6
harus membutuhkan,1
membutuhkan sebuah,2
sebuah router,1
router untuk,1
untuk pengaturan,1
pengaturan lalu,1
lintas manajemen,1
manajemen pelanggan,1
pelanggan dan,1
dan paket,1
paket internet,1
internet kemudian,1
kemudian setelah,1
setelah router,1
router kita,1
kita turunkan,1
turunkan ke,1
ke perangkat,2
perangkat olt,2
olt optical,3
terminal merupakan,1
merupakan hardware,1
hardware titik,1
titik akhir,1
akhir endpoint,1
endpoint dalam,1
dalam passive,1
pon olt,1
olt memiliki,1
memiliki dua,2
fungsi utama,4
utama yaitu,5
yaitu 1,22
1 mengubah,1
mengubah sinyal,1
sinyal standar,1
standar yang,2
digunakan oleh,16
oleh penyedia,1
penyedia fios,1
fios ke,1
ke frekuensi,1
frekuensi dan,3
dan framing,1
framing yang,1
oleh sistem,5
sistem pon,1
pon 2,1
2 mengkoordinasi,1
mengkoordinasi multiplexing,1
multiplexing antara,1
antara perangkat,1
perangkat konversi,1
konversi di,1
di terminal,2
terminal jaringan,1
jaringan optic,1
optic olt,1
lokasi pelanggan,1
pelanggan 17,1
17 hasil,1
pembahasan setelah,1
setelah melalui,2
melalui proses,5
proses analisis,1
analisis kebutuhan,3
kebutuhan alat,1
alat dan,3
dan pembuatan,3
pembuatan desain,1
desain topologi,1
topologi langkah,1
langkah selanjutnya,2
selanjutnya adalah,2
adalah membahas,1
membahas hasil,1
hasil implementasi,4
implementasi dari,3
dari topologi,1
topologi yang,1
dibuat dari,1
dari server,2
server pusat,1
pusat sampai,1
dengan di,3
di jual,1
jual ke,1
pelanggan end,1
end user,1
user menggunakan,1
optic fiber,1
data fo,1
fo terkenal,1
kabel fo,1
fo pada,1
dalam 18,2
18 kecepatan,1
kecepatan transmisi,1
transmisi serat,1
tinggi menjadikannya,1
menjadikannya media,1
media komunikasi,4
sangat baik,3
baik 19,1
19 dalam,1
untuk pengujian,9
pengujian kecepatan,3
kecepatan kita,1
kita ambil,1
ambil sampel,1
sampel pengujian,1
pengujian di,1
beberapa pelanggan,1
pelanggan internet,1
internet rumahan,1
rumahan yang,1
dimana sampel,2
sampel pelanggan,1
pelanggan tersebut,1
tersebut berlangganan,1
berlangganan internet,1
dengan paket,4
paket yang,4
berbeda selanjutnya,1
kita merencanakan,1
merencanakan dan,2
dan menghitung,2
menghitung total,1
total looses,2
looses total,1
looses ini,1
sebuah parameter,1
parameter penting,1
penting sebelum,1
kita melakukan,1
melakukan instalasi,1
instalasi dan,5
dan aktifasi,1
aktifasi di,2
di pelanggan,6
pelanggan ftth,1
home berikut,1
berikut perhitungan,1
perhitungan losses,1
losses sesuai,1
sesuai gambar,3
4 dan,2
di pastikan,1
pastikan perhitungannya,1
perhitungannya tepat,1
tepat akurat,1
akurat power,1
yang dikirim,2
dikirim dari,1
server ke,1
pelanggan power,2
dikeluarkan dari,1
dari olt,1
terminal yaitu,1
yaitu 5dbm,1
5dbm berikut,1
berikut tabel,12
tabel pedoman,1
dan rumus,1
rumus menghitung,2
menghitung untuk,1
untuk pengukuran,2
pengukuran power,1
power link,1
link budget,1
budget 20,1
20 tabel,1
1 rugi,1
rugi rugi,2
rugi fiber,1
optic no,1
no uraian,1
uraian standar,1
standar redaman,1
redaman db,1
db qty,1
qty total,1
total redamandb,1
redamandb 1,1
1 spliter,1
spliter 1,2
1 4,1
4 725,1
725 1,1
1 bh,2
bh 725,1
725 2,1
2 spliter,1
1 8,1
8 1038,1
1038 1,1
bh 1038,1
1038 3,1
3 sambungan,1
sambungan kabel,1
kabel drop,1
drop core,1
core 010,1
010 5,1
5 bh,2
bh 05,2
05 4,1
4 konektor,1
konektor sc,1
sc upc,2
upc 025,2
025 2,1
2 bh,1
05 5,1
5 adapter,1
adapter sc,1
025 5,1
bh 125,1
125 6,1
6 panjang,1
panjang kabel,1
kabel dropcore,1
dropcore 035,1
035 1,1
1 km,1
km 035,1
035 total,1
total redaman,1
redaman rugi,1
rugi 2063,1
2063 sumber,1
sumber peneliti,2
peneliti rumus,1
menghitung link,1
link power,1
power budget,1
budget adalah,1
2024 803,1
803 𝛼𝑇𝑜𝑡𝑎𝑙,1
𝛼𝑇𝑜𝑡𝑎𝑙 𝐿,1
𝐿 𝑎𝑠𝑒𝑟𝑎𝑡,1
𝑎𝑠𝑒𝑟𝑎𝑡 𝑁𝑐,1
𝑁𝑐 𝑎𝑐,1
𝑎𝑐 𝑁𝑠,1
𝑁𝑠 𝑎𝑠,1
𝑎𝑠 na,1
na aa,1
aa 𝑆p,1
𝑆p keterangan,1
keterangan 𝛼𝑇𝑜𝑡𝑎𝑙,1
𝛼𝑇𝑜𝑡𝑎𝑙 redaman,1
redaman total,1
total db,1
db 𝐿,1
𝐿 jarak,1
jarak km,1
km 𝑎a𝑠𝑒𝑟𝑎𝑡,1
𝑎a𝑠𝑒𝑟𝑎𝑡 redaman,1
redaman serat,1
optik dbkm,1
dbkm 𝑁𝑐,1
𝑁𝑐 jumlah,1
jumlah konektor,1
konektor 𝑁,1
𝑁 𝛼𝑐,1
𝛼𝑐 redaman,1
redaman konektor,1
konektor dbpasang,1
dbpasang 𝑁𝑠,1
𝑁𝑠 jumlah,1
jumlah sambungan,1
sambungan 𝑎𝑠,1
𝑎𝑠 redaman,1
redaman sambungan,1
sambungan dbbuah,1
dbbuah 𝑁a,1
𝑁a jumlah,1
jumlah adapter,1
adapter 𝑁,1
𝑁 𝛼a,1
𝛼a redaman,1
redaman adapter,1
adapter dbbuah,1
dbbuah 𝑆𝑝,1
𝑆𝑝 redaman,1
redaman splitter,1
splitter db,1
db bisa,1
bisa kita,2
kita masukan,1
masukan ke,1
dalam rumus,1
rumus sebagai,1
berikut 𝛼𝑇𝑜𝑡𝑎𝑙,1
𝛼𝑇𝑜𝑡𝑎𝑙 1x0352x025,1
1x0352x025 5x010,1
5x010 5x025,1
5x025 1763,1
1763 𝛼𝑇𝑜𝑡𝑎𝑙,2
𝛼𝑇𝑜𝑡𝑎𝑙 035,1
035 05,1
05 05,1
05 125,1
125 1763,1
𝛼𝑇𝑜𝑡𝑎𝑙 2023,1
2023 yang,1
yang diterima,9
diterima pelanggan,2
power sfp,1
sfp 𝛼𝑇𝑜𝑡𝑎𝑙,1
𝛼𝑇𝑜𝑡𝑎𝑙 7dbm,1
7dbm 2023,2
2023 db,2
db 7dbm,1
db yang,1
pelanggan 13,1
13 23,2
23 dbm,1
dbm gambar,1
gambar 6,8
6 hasil,3
hasil pengukuran,2
pengukuran dirumah,1
dirumah pelanggan,1
pelanggan menggunakan,1
menggunakan opm,1
opm optical,1
meter setelah,1
setelah pengukuran,1
pengukuran selesai,1
selesai kita,1
kita masuk,1
masuk ke,4
ke tahap,1
tahap aktifasi,1
sisi server,4
server menggunakan,1
menggunakan router,1
router manajemen,2
manajemen yang,1
sudah tersedia,2
tersedia sesuai,1
gambar topologi,1
topologi diatas,1
diatas adapun,1
adapun parameter,1
harus di,7
di isi,2
isi adalah,1
2 parameter,1
parameter mikrotik,1
mikrotik ppp,1
ppp secret,1
secret no,1
no parameter,1
parameter isi,1
isi parameter,1
parameter 1,1
1 name,1
name kantorcdn,1
kantorcdn 2,1
2 password,1
password cdn1234,2
cdn1234 3,1
3 profile,1
profile paket,1
paket 1jt,1
1jt 100,1
mbps 4,1
4 service,1
service pppoe,1
pppoe 5,1
5 local,1
local address,1
address 1010101,1
1010101 6,1
6 remote,1
remote address,1
address 10108254,1
10108254 sumber,1
peneliti gambar,1
gambar 7,8
7 tampilan,3
tampilan input,2
input di,1
di router,1
manajemen setelah,1
setelah penginputan,1
penginputan di,1
server selesai,1
selesai langkah,1
adalah melakukan,1
melakukan konfigurasi,2
konfigurasi di,1
sisi modem,1
modem rumah,1
rumah pelanggan,1
pelanggan karena,1
karena ini,1
menggunakan modem,1
modem tipe,1
tipe huawei,1
huawei hg8245h5,1
hg8245h5 maka,1
maka langkah,1
langkah pertama,5
pertama yaitu,3
yaitu masuk,1
masuk dulu,1
dulu ke,1
ke ip,1
ip 1921681001,1
1921681001 kemudian,1
kemudian masukan,2
masukan super,1
super user,1
user yaitu,1
yaitu username,2
username support,1
support dan,1
dan password,2
password theworldinyourhand,1
theworldinyourhand gambar,1
gambar 8,8
8 tampilan,3
tampilan awal,1
awal konfigurasi,1
konfigurasi modem,2
modem selanjutnya,1
selanjutnya pilih,1
pilih menu,1
menu wan,1
wan lihat,1
lihat di,1
di tabulasi,1
tabulasi username,1
username dan,1
password di,1
isi sesuai,1
sesuai yang,3
di inputkan,1
inputkan di,1
server yaitu,1
username kantorcdn,1
kantorcdn password,1
cdn1234 seperti,1
seperti gambar,3
gambar berikut,5
berikut jurnal,3
2024 804,1
804 gambar,1
gambar 9,7
9 tampilan,2
tampilan konfigurasi,2
konfigurasi wan,1
wan di,1
di modem,2
modem kemudian,1
kemudian teknisi,1
teknisi melakukan,1
konfigurasi nama,1
nama ssid,1
ssid nama,1
nama wifi,1
wifi yang,1
yang disesuikan,1
disesuikan dengan,1
dengan keinginan,2
keinginan pelanggan,1
pelanggan gambar,1
gambar 10,6
10 tampilan,2
konfigurasi ssid,1
ssid di,1
modem terakhir,1
terakhir adalah,2
adalah pengujian,2
pengujian kapasitas,1
kapasitas link,1
link atau,1
atau bandwith,1
bandwith bandwidth,1
bandwidth merupakan,1
suatu nilai,2
di transfer,1
transfer secara,1
secara maksimal,3
maksimal pada,1
pada pertukaran,1
pertukaran data,1
yang biasa,1
biasa dilakukan,1
pada suatu,4
suatu waktu,1
waktu pada,3
pada sebuah,4
jaringan bandwidth,1
bandwidth dapat,1
dapat membawa,3
membawa kapasitas,1
kapasitas maksimal,1
maksimal paket,1
paket data,1
data saat,1
saat menggunakan,1
kabel ethernet,1
ethernet 21,1
21 pastikan,1
pastikan pelanggan,1
pelanggan mendapatkan,1
mendapatkan services,1
services bandwith,1
di inginkan,2
inginkan dalam,1
ini pelanggan,1
pelanggan berlangganan,1
berlangganan paket,1
paket broadband,1
broadband up,1
up to,4
to 100,1
mbps dalam,3
penulis akan,7
akan menguji,3
menguji kecepatan,3
kecepatan transfer,5
transfer data,5
menggunakan httpswwwspeedtestnet,1
httpswwwspeedtestnet gambar,1
gambar 11,8
11 hasil,2
uji kecepatan,3
kecepatan di,3
pelanggan 1,1
1 menggunakan,1
menggunakan ookla,1
ookla di,1
di gambar,1
gambar selanjutnya,1
selanjutnya penulis,1
akan menampilkan,2
menampilkan hasil,2
di ambil,2
ambil adalah,2
adalah up,2
to 20,1
20 mbps,1
menggunakan httpswwwnperfcom,1
httpswwwnperfcom gambar,1
gambar 12,7
12 hasil,2
pelanggan 2,3
2 menggunakan,1
menggunakan nperf,1
nperf kemudian,1
menampilkan juga,1
juga hasil,2
to 30,1
30 mbps,1
menggunakan httpsspeedtestcbnid,1
httpsspeedtestcbnid gambar,1
pelanggan 3,6
3 menggunakan,1
menggunakan speedtest,1
speedtest cbn,1
cbn simpulan,1
simpulan kesimpulan,1
kesimpulan dalam,1
ini yaitu,13
yaitu penulis,1
penulis memberikan,1
gambaran tentang,3
tentang membuat,1
membuat topologi,1
topologi dan,1
dan struktur,3
struktur jaringan,1
home dari,1
dari mulai,1
mulai perancangan,1
perancangan topologi,1
topologi server,1
server konfigurasi,1
konfigurasi perangkat,1
jaringan olt,1
terminal perhitungan,1
perhitungan looses,1
looses konfigurasi,1
modem yang,2
pelanggan sampai,1
dengan aktifasi,1
aktifasi modem,1
pelanggan tentu,1
tentu proses,1
bisnis pembuatan,1
pembuatan jaringan,1
home ini,1
ini sangatlah,1
sangatlah prospek,1
prospek di,1
digitalisasi apabila,1
apabila kita,2
kita mempunya,1
mempunya pelanggan,1
pelanggan subscriber,1
subscriber yang,1
yang banyak,8
banyak dan,4
di sisilain,1
sisilain untuk,1
membantu program,1
program pemerintah,1
pemerintah dalam,5
rangka pemerataan,1
infrastruktur di,1
bidang telekomunikasi,2
telekomunikasi kemudian,1
kemudian internet,2
internet of,25
of things,25
things iot,12
iot akan,1
akan semakin,6
semakin terintegrasi,1
terintegrasi ke,1
lebih banyak,16
banyak perangkat,1
perangkat yang,3
yang terhubung,4
terhubung dan,2
dan berkomunikasi,3
berkomunikasi satu,1
lain ini,2
ini bisa,10
bisa mencakup,2
mencakup segala,2
segala hal,3
hal mulai,1
dari jurnal,3
2024 805,1
805 peralatan,1
peralatan rumah,2
tangga hingga,1
hingga kendaraan,1
kendaraan dan,1
dan infrastruktur,3
infrastruktur kota,1
kota ucapan,1
ucapan terimakasih,1
terimakasih penulis,1
penulis dalam,1
ini mengucapkan,1
mengucapkan terimakasih,1
terimakasih banyak,1
banyak kepada,1
kepada pihak,2
banyak membantu,1
membantu sehingga,1
sehingga penelitian,1
ini berjalan,1
berjalan dengan,17
dengan lancar,8
tidak lupa,1
lupa juga,1
juga khususnya,1
khususnya kepada,2
kepada dosen,2
dosen pembimbing,1
pembimbing yang,1
sudah mengarahkan,1
mengarahkan memberikan,1
memberikan pandangan,2
pandangan berupa,1
berupa saran,1
saran terkait,1
terkait penulisan,1
penulisan daftar,1
pustaka 1,7
1 n,1
n dasopang,1
dasopang ecommerce,1
ecommerce bisnis,2
bisnis dan,1
dan internet,3
internet j,1
j ilm,5
ilm ekon,1
ekon manaj,3
manaj dan,1
dan syariah,1
syariah vol,1
vol 3,19
3 no,17
1 pp,8
pp 1240,1
1240 2024,1
2024 2,2
2 n,2
n mamuriyah,1
mamuriyah s,1
s e,3
e prasetyo,1
prasetyo and,1
a o,1
o sijabat,1
sijabat rancangan,1
rancangan sistem,2
sistem keamanan,5
keamanan jaringan,2
jaringan dari,1
dari serangan,4
ddos menggunakan,1
metode pengujian,2
pengujian penetrasi,1
penetrasi j,1
j teknol,12
teknol dan,10
dan sist,2
sist inf,4
inf bisnis,2
pp 162167,1
162167 2024,1
2024 doi,7
doi 1047233jteksisv6i11124,1
1047233jteksisv6i11124 3,1
3 s,1
s m,2
m prasetiyo,1
prasetiyo et,1
al pertumbuhan,1
pertumbuhan tingkat,1
penetrasi indonesia,1
indonesia vol,5
vol 2,10
pp 6571,1
6571 2024,1
2024 4,2
4 w,1
w fachrid,1
fachrid w,1
w fitriani,1
fitriani and,1
and muslim,1
muslim perancangan,1
perancangan jalur,1
jalur ftth,1
di desa,9
desa kota,1
kota pari,1
pari menggunakan,1
aplikasi smallword,1
smallword djournalscom,1
djournalscom vol,1
4 pp,4
pp 296302,1
296302 2023,1
2023 online,1
online available,4
available httpdjournalscomresolusiarticleview748,1
httpdjournalscomresolusiarticleview748 5,1
5 o,1
o d,1
d p,4
p menggunakan,1
menggunakan and,1
and m,5
m percabangan,1
percabangan instalasi,1
dan aktivasi,2
aktivasi fiber,1
ftth jaringan,1
jaringan dengan,3
dengan penambahan,2
penambahan titik,1
titik distribusi,1
optik vol,1
vol 5,2
5 no,7
no 3,26
3 pp,2
pp 298304,1
298304 2023,1
2023 6,2
6 s,2
s hadi,1
hadi and,1
a u,1
u zailani,1
zailani implementasi,1
implementasi migrasi,1
migrasi jaringan,1
jaringan teknologi,1
teknologi wireless,1
wireless ke,1
ke fiber,1
optik metode,1
metode epon,1
epon studi,1
kasus dapur,1
dapur remaja,1
remaja network,1
network j,1
j inform,1
inform multi,1
multi vol,1
vol 1,19
1 no,26
pp 379388,1
379388 2023,1
2023 7,1
7 l,1
l o,1
o sari,1
sari jaringan,1
jaringan broadband,1
broadband fiber,1
fiber ke,1
ke rumah,1
rumah ftth,1
ftth desain,1
desain peningkatan,1
peningkatan kinerja,3
kinerja jaringan,1
jaringan informasi,1
telekomunikasi di,1
di universitas,9
universitas riau,1
riau no,1
pp 15,1
15 2018,1
2018 8,1
8 i,1
i g,1
g a,1
a a,9
a p,4
p putra,1
